책 제목,소개글
엘리베이터 비상벨을 누르면,"비상벨을 울린 아이, 가족의 사라진 추억을 찾아 나서다
“여기는 기억 엘리베이터. 지금 가장 필요한 기억 속으로 너를 데려가 주지.”

베스트셀러 《내가 모르는 사이에》 작가 김화요가 따뜻한 가족애를 그린 신작 판타지 동화로 돌아왔다. 주인공 4학년 ‘조은하’는 고장 난 엘리베이터에 갇혀 아름답고도 미스터리한 가이드 ‘리리’를 만난다. 문밖에 회오리치는 수천 가지 엘리베이터 가운데 은하가 오른 것은 기억 엘리베이터.
작가는 버튼만 눌렀을 뿐인데 새로운 풍경 속으로 데려다주는 엘리베이터야말로 현대 어린이가 경험하는 첫 번째 모험이라며 이야기의 마법을 싹틔웠다. 차갑고 갑갑한 금속 기계장치가 이 작품에서만큼은 잃어버린 기억에 이르는 은빛 통로로 변모해 독자의 마음을 사로잡을 것이다. 
어린이 서평단이 “가족의 사랑을 느낄 수 있는 책”으로, 어린이청소년문학서점 ‘책방 사춘기’ 대표 유지현 씨가 “내 안의 결핍을 마주하고 다시 채워 나갈 힘을 쥐여 주는 작품”으로 평가한 가슴 뭉클한 모험담!"
숲속 가든,"그동안 《봉주르, 뚜르》, 《서찰을 전하는 아이》, 《해리엇》, 《너의 운명은》 등을 통해 탁월한 상상력과 참신한 구성, 세련된 문체, 색다른 문학적 향취로 큰 사랑을 받아 온 한윤섭 작가가 5년 만에 새 동화 《숲속 가든》을 들고 독자들 곁으로 돌아왔다. 이전의 작품들이 주로 역사적인 공간이나 시간에 천착했다면, 이번 작품에서 공들여 풀어낸 화두는 ‘이야기’다.



이 책은 네 편의 단편 동화로 이루어져 있다. 숲속 깊은 곳에 자리한 음식점에서 매일매일 생사를 걸고 죽음의 게임을 벌이는 닭의 운명을 그린 〈숲속 가든〉, 자신에게 남아 있는 생명의 기한이 적힌 시계를 찾아 시간의 동굴로 갔다가 영영 돌아오지 못하는 사람들의 이야기 〈이야기의 동굴〉, 무시로 어린 시절과 현재를 넘나드는 혼란스런 상황에 빠져 있지만 자신의 삶을 통제하지 못하는 이의 서글픔을 담은 〈잠에서 깨면〉, 인간들 못지않은 지능으로 사리분별을 능히 할 만큼 뛰어난데도 무자비한 힘에 맥없이 떠밀리고 마는 물고기 이야기 〈비단잉어 준오 씨〉 등.



작가는 우리가 세상을 살아가면서 무심코 맞닥뜨리게 되는 삶의 여러 갈피에서 이야기의 소재를 끌어와 생명력을 부여한 뒤 ‘진실’을 좇으며 ‘존재’에 대한 철학적 질문을 끊임없이 던진다."
여기는 요괴 병원 1: 요괴도 감기에 걸려요! (요괴도 감기에 걸려요!),"《수상한 이웃집 시노다》 작가의 또 다른 판타지
‘도미야스 요코’의 세계가 또 한 번 열린다!

일본 판타지 문학의 거장 ‘도미야스 요코’의 두 번째 작품이 한국어판으로 출간되었다. 일본에서는 이미 정평이 나 있는 도미야스의 첫 번째 작품은 출간되자마자 베스트셀러에 올라 실력을 증명하고 있다. 한국에서 두 번째로 소개되는 《여기는 요괴 병원》 또한 자연스러운 스토리 구성과 빨려들어 갈 듯한 몰입력으로 순식간에 이세계로 빠져든다. 세대를 가리지 않는 작가의 필력과 ‘이야기의 힘’이 여실히 드러나는 작품이다."
"어린이를 위한 그랜드투어 2 동유럽: 독일, 오스트리아, 러시아 (문명 탐험가 송쌤과 떠나는 세계 역사 여행)","인문학 인재 양성 프로그램 〈신세계 지식향연〉 기획자, 
우주 미디어 〈코스모스 타임즈〉 발행인 송동훈 선생님이 선사하는 특별한 역사 여행!

모든 교과와 배경지식의 기초, 세계사
어린이가 세계사를 공부해야 하는 이유
〈어린이를 위한 그랜드투어〉 시리즈는 세계사를 처음 배우는 어린이를 위한 인문 교양서입니다. “역사를 알면 세상을 보는 눈을 기를 수 있다”는 말처럼, 역사는 모든 교과와 배경지식의 기초가 됩니다. 어린이들이 세계화의 흐름에 발맞춰 더 넓은 세상에서 꿈을 펼치기 위해서는 다른 나라의 역사와 문화를 이해하는 세계사 공부가 꼭 선행되어야 합니다. 특히 전 세계 사람들이 K-POP에 열광하고, 한국 소설가가 노벨문학상을 수상하는 등 우리나라의 문화적 위상도 점점 높아짐에 따라, 앞으로 우리나라 어린이들은 더욱 많은 세계인과 어울려 살아가게 될 것입니다. 지금, 어린이가 세계사를 공부해야 하는 이유이지요.

어린이를 위한 고품격 세계 역사 여행,
문명 탐험가 송동훈 쌤과 함께 동유럽 그랜드투어를 떠나요!
그랜드투어는 17~19세기 무렵 유럽의 상류층 자제들 사이에서 유행한 여행입니다. 대체로 수년 동안 학문과 역사를 가르치는 교사와 함께 역사적 가치를 지닌 장소들을 여행하며, 삶의 가치관을 확립하고 리더의 자질을 갖추었지요. 〈어린이를 위한 그랜드투어〉 시리즈에서는 이러한 그랜드투어의 전통을 되살려 어린이를 위한 “현대판 고품격 그랜드투어”를 선보입니다. 먼 옛날 토마스 홉스, 존 로크, 애덤 스미스 등 수많은 지성인들이 그랜드투어의 동행 교사로 활약한 것처럼, 〈어린이를 위한 그랜드투어〉 시리즈에서는 문명 탐험가 송동훈 선생님(송쌤)이 가이드가 되어 세계사적으로 유명한 장소를 여행하며 관련 역사를 쉽고 재미있게 설명해 줍니다. 시리즈의 ②권 『동유럽 : 독일, 오스트리아, 러시아』 에서는 분단을 극복하고 통일을 이룬 나라 독일, 합스부르크가 남긴 위대한 문화의 나라 오스트리아, 세계에서 가장 큰 동토의 제국인 러시아로 떠납니다. 학기 중은 물론 주말·방학에도 여러 스케줄로 바쁜 초등학생을 위해 책 한권만 읽어도 유럽의 역사를 꿰뚫을 수 있도록 에피소드 형식으로 구성했습니다. 송쌤의 유쾌하고 자세한 설명과 함께 현지 사진 자료까지 더해져 책만 읽어도 ‘진짜’ 여행을 다녀온 것처럼 느낄 수 있답니다."
달곰한 문해력 기본서 5단계 A,"ㆍ  문해력 교재 개발에 노하우를 갖고 있는 연구진들이 기획 및 학습 설계 
ㆍ  2022 개정 교육과정 초등 국어 교과의 문해력 개념 총망라
ㆍ  읽기에 편중된 독해 학습에서 벗어나 ‘개념+어휘+읽기+쓰기’로 균형 잡힌 문해력 기초 학습을 할 수 있는 기본서

문해력은 글을 읽고 쓰는 기초 능력이자
글을 이해하고 분석하고 비판하고 문제를 해결하는 고도의 능력입니다. 
그래서 기본기 없이는 문해력을 갖기 어렵습니다.

그렇다면 문해력의 기본기를 탄탄하게 하기 위해서는 무엇을 해야 할까요? 
바로 글을 이루는 기본 단위부터 글을 정교하게 읽는 방법까지
개념 하나하나를 익히고, 그 개념들을 엮고 활용하는 훈련을 해야 합니다.

꼭 알아야 할 교과 개념을 바탕으로, 지문에 따른 읽기 방법을 적용하여, 꼼꼼하게 3회독을 하면 
우리가 상상하는 것보다 더 근사하고 굉장한 힘인 ‘문해력’을 갖게 될 것입니다.
〈달곰한 문해력 기본서〉가 우리 아이들이 스스로 생각하고 판단하며 세상과 소통할 수 있도록 돕겠습니다."
달곰한 문해력 초등 어휘 5단계,"ㆍ 주요 과목별 필수 낱말을, 주제로 묶여진 낱말밭을 통해 의미로 연결하여 학습해요.
ㆍ 다양한 종류의 글을 읽으며 맥락 속에서 낱말의 뜻을 추론하여 학습해요.
ㆍ 일일 학습 - 주간 학습 - 어휘 평가의 세 단계를 통해 어휘를 완벽하게 학습해요.

문해력은 글을 읽고 이해하는 것을 넘어, 글에 숨어 있는 맥락을 찾아내고 그것을 내재화하여 확장하는 능력입니다. 
문해력을 기르기 위해서는 반드시 어휘가 바탕이 되어야 합니다. 글 속에 있는 어휘의 정확한 뜻을 인지하고, 낯선 어휘도 맥락을 통해 뜻을 추론할 수 있는 능력이 있어야 합니다.
〈달곰한 문해력 초등 어휘〉는 문해력을 키우는 어휘 학습이 가능합니다.
교과서 필수 낱말을 담았습니다. 학년별 주요 과목 필수 어휘를 한 권으로 학습할 수 있습니다. 
주제로 묶인 낱말밭을 통해 의미로 연결하여 학습합니다. 주제 안에서 의미적으로 연결된 어휘들의 뜻을 짧은 글과 그림을 보며 추론하고, 긴 글 읽기를 통해 한 번 더 추론함으로써 완벽하게 익힙니다.
어휘의 정확한 뜻을 파악한 뒤 다양한 문제를 통해 반복하여 뜻을 기억합니다. 일일 학습 – 주간 학습 – 어휘 평가의 세 단계를 통해 어휘를 완벽하게 학습합니다.
〈달곰한 문해력 초등 어휘〉를 통해 아이들에게 어떤 글도 두렵지 않은 바탕을 만들어 주세요."
천재 의사 시건방 2: 새우등 마을을 탈출하라! (새우등 마을을 탈출하라!),"〈천재 의사 시건방〉 그 두 번째 이야기. 
새우등 마을 왕진 의사가 된 시건방과 수련에 몰두하는 초능력 노인들. 고래등 병원 지하 어두운 밀실에서는 기괴한 웃음소리가 들리고, 복면 악당은 새우등 마을로 향하는데. 천재 의사 시건방과 초능력 노인들의 쫓고 쫓기는 일상과 서서히 드러나는 검은 그림자의 실체를 만나보세요.

새우등 마을의 비밀을 알게 된 시건방은 마을을 떠날 수 없다는 경고와 함께 왕진 의사가 되어 머물게 됩니다. 처음 도착했을 때와는 완전히 뒤바뀐 처지가 된 시건방, 노인들의 백스물여섯 가지의 요구에 맞춰 치료와 시중은 물론 병원 청소와 집안일까지 하게 되었죠. 건방을 돕겠다고 큰소리치던 고구려도 떠나고, 건방은 에그마요가 될지도 모른다는 불안감에 탈출, 탈출, 오로지 탈출만을 시도합니다. 그러나 점네의 괴력과 신바람의 염력, 고구마의 분신술, 남달라의 예지능력 등을 벗어나 탈출하기는 불가능했습니다. 그때, 고래등 병원 지하 밀실 어둠 속 빛나는 숫자가 72에서 71로 바뀌고, 알 수 없는 기괴한 웃음소리가 들립니다. 한편, 새우등 마을에서는 점네가 이상하다는 소문이 돌고 노인들 사이에서는 무언가 수상한 일이 벌어지고 있었습니다. 시건방은 어수선한 마을의 분열을 감지하고, 점네에게 접근하죠. 점네의 초능력을 이용해 탈출하려고 말입니다. 마을 사람들의 행동을 눈치챈 점네는 시건방의 제안을 수락하고 둘은 한 팀이 됩니다. 그리고 드디어 계획을 실행에 옮기는 날, 시건방 앞에는 생각지도 못한 광경이 펼쳐지는데요. 그토록 기다리던 김고래 원장의 등장과 쓰러져버린 시건방. 시건방은 위험이 닥치기 전 새우등 마을을 벗어날 수 있을까요?"
천개산 패밀리 4,"베스트셀러 동화 작가 박현숙의
천개산 들개와 인간의 공존, 배려와 이해, 꿈, 우정!
『천개산 패밀리』 네 번째 이야기!

㈜특별한서재의 아동 브랜드인 특서주니어의 어린이문학에서 『천개산 패밀리』 시리즈 4권이 출간되었다. 
『천개산 패밀리』는 베스트셀러 『수상한 시리즈』의 동화 작가 박현숙이 한층 확장된 넓고 깊은 창작의 세계에서 돋보이는 상상력으로 서사의 개연성과 완결성을 추구하는 작품이다. 권마다 숨겨진 비밀과 복선, 반전을 선사하면서도 문학적, 동화적 가치를 놓치지 않는 글은 작가 박현숙의 세계, 이야기 힘을 가장 완벽하게 보여준다.

비열한 개 vs 정의의 개
진정한 ‘대장’의 조건이란? 대장 선거를 지켜봐!

침을 질질 흘리는 누런 개가 떠돌이 개들의 대장이 되는 걸 막기 위해
비밀스러운 반대 운동을 벌이던 천개산 패밀리.

마을 사람들에게 붙잡혀 위기에 빠졌을 때
친구들에게 괴롭힘을 당하던 아이 ‘서형이’를 만나는데...
말이 통하지 않는 우리도 친구가 될 수 있을까?

대장 선거를 둘러싼 떠돌이 개들과 천개산 패밀리의 충돌!
진짜 ‘대장’의 자격이란 뭘까? 대장 선거를 지켜봐!"
비마이펫 멍냥연구소 9 (온 세상 반려가족 필수 반려동물 교양만화),"천만 반려동물 시대. 반려 인구 필독서!
우리 강아지, 고양이와 매일 매일을 즐거움으로!

“강아지, 고양이의 습성과 보호자가 가져야 할 자세를 재미있는 만화로!”
새로운 주제와 새로운 이야기로 찾아온 〈비마이펫 멍냥연구소 9〉는 강아지와 고양이에 대한 상식을 재미있는 이야기로 풀어낸 비마이펫 교양만화입니다.
이 책은 비마이펫 유튜브 채널의 〈비마이펫 강아지, 고양이 연구소〉, 〈비마이펫 프렌즈〉 영상툰을 수록한 책으로, 수많은 독자들이 기다린 견종 백과와 고양이의 생태를 주제로 한 재미있는 이야기를 전달합니다.
〈비마이펫 멍냥연구소〉의 종합 편 그 첫 번째 이야기! 〈비마이펫 멍냥연구소 9〉의 이야기를 보며, 반려동물의 행동과 심리 상태를 알아보세요.         

-초보 집사를 위한 친절한 설명과 정보 수록! 
-반려동물에 대한 소중함을 일깨워주는 도서!

강아지 리리와 고양이 삼색이와 함께 배우는 반려동물 상식.
반려동물과 행복한 일상을 꿈꾼다면, 지금 바로 〈비마이펫 멍냥연구소 9〉를 만나 보세요."
멍멍말 통역사 김야옹 1: 부자 개의 유산을 지켜라! (부자 개의 유산을 지켜라!)," 어린이 사전 평가단, 평점 4.86!
 초등 베스트셀러 《똥볶이 할멈》 강효미 작가의 신작!

《똥볶이 할멈》, 《후덜덜 식당》을 쓴 강효미 작가의 첫 동물 동화로, ‘동물 통역사’라는 가상의 직업을 바탕으로 한다. 동물말 통역 학교를 꼴찌로 졸업하고 반지하에 겨우 사무실을 얻어 살고 있는 인간, 김야옹과 건물주의 딸이자 반려견, 프랑소와 에뜨왈르 봉봉 부자. 종족도 지갑 사정도 다른 두 캐릭터가 만나며 벌어지는 사건들이 작가 특유의 담백하고 유머러스한 문체로 펼쳐진다. 여기에 《한밤중 달빛 식당》을 그린 윤태규 작가 특유의 개성 넘치는 그림이 더해져 책을 읽는 내내 웃음을 참을 수 없을 것이다.

*줄거리
202X년, 대한민국에 전 세계 최초로 동물말 통역 학교가 세워졌어요. 학교를 졸업한 학생들은 모두 어마어마한 돈을 벌기 시작하지요. 딱 한 사람, 학교를 꼴찌로 졸업한 김야옹만 빼고요.
김야옹이 할 수 있는 동물말이라고는 너무 흔해서 통역사라면 누구나 할 수 있는 멍멍말과 너무 희귀해서 찾는 이가 없는 벵골호랑이, 흑두루미의 말뿐이에요. 동물말 통역사 경쟁 사회에서 살아남지 못한 김야옹의 반지하 사무실에는 파리만 날리지요. 그러다 결국 월세를 내지 못해, 반지하에서마저 쫓겨날 위기에 처하고 말아요. 그런 김야옹의 타들어 가는 속도 모르고, 우연히 떠돌이 개를 도와준 것을 계기로 버려진 개, 개장수에게서 탈출한 개들이 김야옹의 집에 모여들어요. 
그때! 좌절한 김야옹 앞에 건물 주인아저씨의 딸이라는 개가 나타나, 자신의 의뢰를 받아 주면 사무실에서 쫓아내지 않겠다고 거래를 제안해 오는데요. 과연 김야옹은 의뢰를 해결하고, 멍멍말 통역 사무소를 무사히 지켜 낼 수 있을까요?"
도슨트 이창용의 미술 대모험 4: 미켈란젤로,"도슨트 이창용의 어린이를 위한 미술 여행!
르네상스를 꽃피운 천재 예술가, 미켈란젤로를 만나다!

JTBC 〈톡파원 25시〉, MBC 〈선을 넘는 녀석들-더 컬렉션〉, tvN 〈벌거벗은 세계사〉 등 화제의 방송 출연! 예술 작품에 담긴 이야기를 들려주는 ‘도슨트 이창용’의 어린이 동화, 《도슨트 이창용의 미술 대모험》 4권이 출간되었습니다. 
《도슨트 이창용의 미술 대모험》은 시간 여행을 떠나 예술가를 만나고, 작품에 담긴 이야기를 전해 주는 시리즈입니다. 도슨트 이창용을 닮은 캐릭터 ‘도리’는 감정 표현이 서툰 여자아이 ‘클로디’에게 세상의 아름다움을 보여 주기 위해 미술 여행을 떠납니다. 
4권에서는 르네상스를 꽃피운 천재 예술가, 미켈란젤로를 만납니다. 〈시스티나 예배당 천장화〉를 그리던 순간으로 시간 여행을 떠나, 그림 속에 숨겨진 이야기부터 미켈란젤로의 깊은 고민까지 자연스레 들여다보게 되지요. 그럼 지금부터 도슨트 이창용, ‘도리쌤’과 함께 신비로운 여행을 떠나 볼까요?"
설민석의 그리스 로마 신화 대모험 11 (지혜와 전쟁의 여신 아테나),"이번에도 설쌤이, 누구보다 재미있게! 생생하게!
오랫동안 사랑받아 온 신들의 이야기를 
아이들의 마음속에 오래 남도록 들려드립니다!

“저와 함께 떠난 신화 대모험이 어린이들의 마음속에 오래도록 남아, 훗날 인생을 살아가는 지혜가 된다면 더없이 기쁠 것 같습니다.”  -저자 설민석

뻔한 그리스 로마 신화는 이제 그만! 그리스 로마 신화를 처음 접하는 아이들을 위해 스토리텔러 설쌤이 나섰다! 
〈설민석의 그리스 로마 신화 대모험〉은 오랜 시간 그 가치를 인정받은 그리스 로마 신화에 설쌤의 풍부한 상상력을 더한 새로운 대모험 시리즈입니다. 〈설민석의 그리스 로마 신화 대모험〉은 낯설고 어려운 그리스 로마 신화를 어린이의 눈높이에 맞춰 아주 쉽게, 흥미진진한 만화로 재구성했어요. 설쌤이 들려주는 재미있고 생생한 신들의 이야기를 듣다 보면, 어느새 그리스 로마 신화에 흠뻑 빠져들 거예요. 또한 주인공들이 겪는 신비한 일들을 따라가다 보면, 자연스레 신들과 더 가까워진답니다. 이야기를 재미있게 읽은 뒤에는 더 깊은 정보와 재미난 퀴즈로 신화 박사에 도전해 보세요! 자, 그럼 설쌤과 함께 신화 속 세상으로 대모험을 떠나 볼까요?"
국어가 쉬워지는 초등 필수 한자 어휘 50 (한자를 알면 교과서가 술술 읽힌다),"초등 한자를 공부하면 어휘가 쉬워진다!
공부 실력과 자신감을 키우는 초등 한자 어휘 학습

“아이가 어휘력을 키우려면 어떻게 한자를 공부해야 할까요?” 아이의 문해력 향상에 관심이 없는 부모님은 안 계실 것입니다. 초등학생들은 수업 시간이나 시험을 볼 때 어휘의 의미를 몰라 어려움을 겪곤 하니까요. 이런 부모의 마음을 깊게 공감하는 교사들이 모여 설립한 ‘올바른초등교육연구소’는 『국어가 쉬워지는 초등 필수 한자 어휘 50』을 출간했습니다. 
현직 초등학교 교사인 저자는 국어, 영어, 수학 등 학교 공부의 토대가 되는 어휘 상당수가 한자로 이루어져 있다는 점에 주목했습니다. 그래서 이 책은 초등학생들의 교과 과정에서 반드시 알아야 하는 50개의 한자와, 이와 관련된 약 400개의 단어를 학습할 수 있도록 구성했습니다. 초등학생들에게 한자 공부를 재밌게 할 수 있다는 인식을 심어주기 위해 일상을 담은 글과 위트 넘치는 그림으로 재미를 더하고, 한 번 공부한 한자를 까먹지 않도록 ‘받아쓰기’ ‘짧은 글 작성’ ‘빈칸 채우기’ 등 학습에 필요한 다양한 한자 놀이도 제공합니다.
학년이 올라갈수록 한자어 사용 빈도가 높아지기에 체계적인 한자 교육이 필요합니다. 『국어가 쉬워지는 초등 필수 한자 어휘 50』은 초등학생들이 스스로 단어 속의 한자와 그 의미를 이해해 긴 글 속에 등장하는 어휘의 뜻을 유추하는 능력을 기를 수 있도록 해줍니다. 매일 한 자씩 한자를 배우고, 배운 한자를 통해 단어의 의미를 이해하는 능력을 길러 읽기와 쓰기 실력을 향상에 큰 도움이 될 것입니다."
주석으로 쉽게 읽는 고정욱 그리스 로마 신화 7 (헤라클레스의 도전),"신과 인간이 하나 된 세상 
서양 고전의 정수를 새롭게 만나다!

“《그리스 로마 신화》는 단순한 이야기가 아닙니다. 그것은 인류의 지혜와 교훈의 보고입니다. 이 책을 통해 독자들이 신화 속에 담긴 이야기를 넘어 그 안의 담겨 있는 의미와 감동을 느낄 수 있기를 바랍니다.”
                                                                                        - 고정욱 

신화의 새로운 해석과 감동을 선사하다
국내외에서 폭넓게 사랑받고 있는 아동 청소년 소설의 대가 고정욱 저자가 《주석으로 쉽게 읽는 고정욱 그리스 로마 신화》(전 10권)로 다시 한번 독자들의 마음을 사로잡는다. 《그리스 로마 신화》는 단순한 옛날이야기가 아니라 용기와 지혜, 사랑과 질투, 믿음과 배신, 분노와 용서 등 인간의 다양한 감정과 인간 존재에 대해 근본적인 질문을 던지는 서양 고전의 정수다. 《그리스 로마 신화》 속에 담긴 신과 영웅들의 이야기는 많은 이들의 상상력을 자극하여 문학, 예술, 철학 작품의 탄생에 영향을 준 서양 문화의 원형(原型·archetype)으로 손꼽힌다. 그 상징적 매력은 수천 년이 지난 지금까지 이어지면서 수많은 미디어에서 확대 재생산되고 있다. 
《고정욱 그리스 로마 신화》는 다년간에 걸친 저자의 방대한 연구와 깊이 있는 통찰력을 바탕으로 신화 속 인물과 사건에 대한 설명은 물론이고 신화의 기원과 전승 과정을 친절한 주석으로 소개한다. 저자는 수많은 판본 비교 과정에서 발견한 다양한 관점의 해석을 추가하여 책 읽기의 즐거움뿐만 아니라 지적 고양감까지 전해준다. 
2021년 출간된 《고정욱 삼국지》 이후 또 하나의 걸작으로 평가되는 이번 신작은 특히 겨울방학을 맞은 어린이와 청소년들에게 더없이 좋은 선물이 될 것이며 온 가족이 함께 배우고 즐기는 기회가 될 것이다. 2025년 아스트리드 린드그렌 추모상(ALMA) 후보로 지명된 고정욱 작가는 《주석으로 쉽게 읽는 고정욱 그리스 로마 신화》를 통해 자신의 문학적 성과를 이어가며 독자들에게 또 다른 감동을 선사할 것이다. 


신으로 묘사된 인간 세계의 민낯을 돌아보다
《그리스 로마 신화》 속 신과 영웅들은 낡은 활자에 갇혀 있지 않다. 이들은 문학 작품은 물론 그림과 조각, 드라마와 영화, 게임 등 고대부터 현대에 이르기까지 끊임없이 확대 재생산되고 있다. 인문학을 만나는 첫 번째 관문이라 불리는 《그리스 로마 신화》는 인간에 대한 다양한 이해를 보여준다. 특히 중세 유럽의 미술 작품들은 《그리스 로마 신화》를 모티브로 하여 만들어졌다고 단언할 수 있을 만큼 신화를 모른다면 그 의미와 상징을 이해하기 힘들 정도다. 
《그리스 로마 신화》가 수많은 이들에게 영감을 주는 것은 그 안에 묘사된 다양한 신과 인간의 군상들이 다채로운 가치관을 보여주기 때문이다. 신들은 근엄하지 않고 영웅들은 비장하지 않다. 세계를 창조한 위대한 신들은 아름다운 여자를 탐하고(제우스), 술과 쾌락을 즐기며(디오니소스), 자신의 마음에 들지 않는다고 자식을 버리는 비정함(헤라)까지 보여준다. 원칙주의자이지만 예외가 있고, 호전적이지만 사랑스럽고, 지혜롭지만 어리석으며, 친절하지만 잔인하고, 너그러우면서 시기하고 질투하며, 아량 있는 듯하지만 속 좁은 신들의 속성은 바로 우리 인간의 민낯을 보여주는 듯하다. 이를 통해 인간 본성에 대한 이해를 넓히는 동시에 자신을 되돌아보게 만든다."
주석으로 쉽게 읽는 고정욱 그리스 로마 신화 7 (헤라클레스의 도전),"신과 인간이 하나 된 세상 
서양 고전의 정수를 새롭게 만나다!

“《그리스 로마 신화》는 단순한 이야기가 아닙니다. 그것은 인류의 지혜와 교훈의 보고입니다. 이 책을 통해 독자들이 신화 속에 담긴 이야기를 넘어 그 안의 담겨 있는 의미와 감동을 느낄 수 있기를 바랍니다.”
                                                                                        - 고정욱 

신화의 새로운 해석과 감동을 선사하다
국내외에서 폭넓게 사랑받고 있는 아동 청소년 소설의 대가 고정욱 저자가 《주석으로 쉽게 읽는 고정욱 그리스 로마 신화》(전 10권)로 다시 한번 독자들의 마음을 사로잡는다. 《그리스 로마 신화》는 단순한 옛날이야기가 아니라 용기와 지혜, 사랑과 질투, 믿음과 배신, 분노와 용서 등 인간의 다양한 감정과 인간 존재에 대해 근본적인 질문을 던지는 서양 고전의 정수다. 《그리스 로마 신화》 속에 담긴 신과 영웅들의 이야기는 많은 이들의 상상력을 자극하여 문학, 예술, 철학 작품의 탄생에 영향을 준 서양 문화의 원형(原型·archetype)으로 손꼽힌다. 그 상징적 매력은 수천 년이 지난 지금까지 이어지면서 수많은 미디어에서 확대 재생산되고 있다. 
《고정욱 그리스 로마 신화》는 다년간에 걸친 저자의 방대한 연구와 깊이 있는 통찰력을 바탕으로 신화 속 인물과 사건에 대한 설명은 물론이고 신화의 기원과 전승 과정을 친절한 주석으로 소개한다. 저자는 수많은 판본 비교 과정에서 발견한 다양한 관점의 해석을 추가하여 책 읽기의 즐거움뿐만 아니라 지적 고양감까지 전해준다. 
2021년 출간된 《고정욱 삼국지》 이후 또 하나의 걸작으로 평가되는 이번 신작은 특히 겨울방학을 맞은 어린이와 청소년들에게 더없이 좋은 선물이 될 것이며 온 가족이 함께 배우고 즐기는 기회가 될 것이다. 2025년 아스트리드 린드그렌 추모상(ALMA) 후보로 지명된 고정욱 작가는 《주석으로 쉽게 읽는 고정욱 그리스 로마 신화》를 통해 자신의 문학적 성과를 이어가며 독자들에게 또 다른 감동을 선사할 것이다. 


신으로 묘사된 인간 세계의 민낯을 돌아보다
《그리스 로마 신화》 속 신과 영웅들은 낡은 활자에 갇혀 있지 않다. 이들은 문학 작품은 물론 그림과 조각, 드라마와 영화, 게임 등 고대부터 현대에 이르기까지 끊임없이 확대 재생산되고 있다. 인문학을 만나는 첫 번째 관문이라 불리는 《그리스 로마 신화》는 인간에 대한 다양한 이해를 보여준다. 특히 중세 유럽의 미술 작품들은 《그리스 로마 신화》를 모티브로 하여 만들어졌다고 단언할 수 있을 만큼 신화를 모른다면 그 의미와 상징을 이해하기 힘들 정도다. 
《그리스 로마 신화》가 수많은 이들에게 영감을 주는 것은 그 안에 묘사된 다양한 신과 인간의 군상들이 다채로운 가치관을 보여주기 때문이다. 신들은 근엄하지 않고 영웅들은 비장하지 않다. 세계를 창조한 위대한 신들은 아름다운 여자를 탐하고(제우스), 술과 쾌락을 즐기며(디오니소스), 자신의 마음에 들지 않는다고 자식을 버리는 비정함(헤라)까지 보여준다. 원칙주의자이지만 예외가 있고, 호전적이지만 사랑스럽고, 지혜롭지만 어리석으며, 친절하지만 잔인하고, 너그러우면서 시기하고 질투하며, 아량 있는 듯하지만 속 좁은 신들의 속성은 바로 우리 인간의 민낯을 보여주는 듯하다. 이를 통해 인간 본성에 대한 이해를 넓히는 동시에 자신을 되돌아보게 만든다."
설민석의 한국사 대모험 32 (세조 편: 뒤바뀐 왕관),"우리 아이 한국사 첫걸음, 
〈설민석의 한국사 대모험〉으로 시작하세요!

2017년 1권이 처음 출간된 이래, 누적 판매 부수 600만 부라는 경이적인 수치를 기록하며 대한민국 대표 어린이 역사책으로 굳건히 자리매김한 〈설민석의 한국사 대모험〉! 〈설민석의 한국사 대모험〉은 아이들이 처음 접하는 한국사를 재미있는 만화와 깊이 있는 부록으로 유익하게 전달합니다. 이 책은 우리 아이들이 놀이하듯 즐겁게 한국사를 접하며 한국사에 관심을 가지고, 나아가 한국사를 사랑하는 어린이로 성장하게 도와줄 것입니다. 
〈설민석의 한국사 대모험〉 32권에서는 어린 조카를 밀어내고 왕위에 오른 세조의 이야기를 재미있는 만화로 담아냈습니다. 세조가 왕이 된 과정과 왕이 된 뒤 어떻게 나라를 다스렸는지 설쌤과 함께 확인해 보세요!"
